timestamp,version,input,exec_count,avg_exec_time,min_exec_time,max_exec_time,exec_times
2024-03-23 14:35:07,v0,mid,4,0.188,0.184,0.195,[0.194500833 0.18359225 0.184507291 0.191114]
2024-03-23 14:35:41,v0,mid,4,0.190,0.186,0.196,[0.19608375 0.190459375 0.186148208 0.186733208]
2024-03-23 14:36:10,v0,small,4,0.002,0.001,0.002,[0.002320084 0.001413583 0.002249667 0.001874458]
2024-03-23 14:37:44,v0,large,4,20.530,19.793,22.136,[19.792790333 22.1355835 20.371443667 19.820689375]
2024-03-23 14:51:30,v0,full,2,189.993,189.469,190.518,[189.468540042 190.518416583]
2024-03-23 15:04:28,v0,full,1,188.239,188.239,188.239,[188.239166709]
2024-04-01 16:32:39,v0,,1,0.004,0.004,0.004,[0.003762125]
2024-04-01 16:47:33,v2,full,5,159.207,156.861,163.023,[161.471060083 163.023084 156.860759917 157.425210709 157.256756333]
2024-04-01 19:44:02,v2,small,5,0.004,0.001,0.008,[0.00362625 0.001368833 0.003236209 0.007865625 0.001426459]
2024-04-01 20:04:33,v2,small,5,0.003,0.001,0.009,[0.009029875 0.00133 0.002322916 0.001798834 0.002254708]
2024-04-01 20:08:24,v2,small,5,0.003,0.002,0.005,[0.005191375 0.002804084 0.002384375 0.00231575 0.002061875]
2024-04-01 20:10:29,v2,small,5,0.004,0.001,0.014,[0.003734334 0.013781875 0.001229708 0.001400375 0.001219]
2024-04-01 20:10:39,v2,small,5,0.003,0.002,0.003,[0.002994625 0.002480042 0.002821209 0.002355125 0.002048959]
2024-04-01 20:12:45,v2,mid,5,0.159,0.153,0.170,[0.162013792 0.169759792 0.159672291 0.152766292 0.152652542]
2024-04-01 20:15:39,v2,large,5,14.877,14.607,15.389,[15.389157833 14.861671708 14.748635833 14.778699875000001 14.607268959]
2024-04-01 20:19:21,v2,full,1,152.029,152.029,152.029,[152.029300542]
